term,english,aliases,group,rule_id,status,handbook_pages,source_pages,definition
最低价,Low,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,选定时段内出现的最低交易价格。
实体,Real Body,,单根蜡烛与组合,Q02,待实现,"10,14,18",B1 B2 B3,开盘与收盘之间的价格范围，不包括上下影线。
上影线,Upper Shadow,,单根蜡烛与组合,Q02,待实现,"10,13",B1 B2 B3,实体上端到最高价的区间。
下影线,Lower Shadow,,单根蜡烛与组合,Q02,待实现,"10,12",B1 B2 B3,最低价到实体下端的区间。
阳线,Bullish Candle,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,收盘高于开盘；不等于收盘一定高于上一时段。
阴线,Bearish Candle,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,收盘低于开盘；不等于收盘一定低于上一时段。
光头线,No Upper Shadow,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,按几何约定，没有上影线的蜡烛。
光脚线,No Lower Shadow,,单根蜡烛与组合,Q02,待实现,10,B1 B2 B3,按几何约定，没有下影线的蜡烛。
纺锤线,Spinning Top,,单根蜡烛与组合,Q14,待实现,11,B1 B2 B3,实体较小、可带上下影线；常用来描述犹豫或力量暂时平衡。
十字线,Doji,,单根蜡烛与组合,Q14,待实现,11,B1 B2 B3,开盘与收盘相同或非常接近的小实体蜡烛。
T字线,Dragonfly Doji,,单根蜡烛与组合,Q14,待实现,11,B1 B2 B3,十字实体在价格区间上端、下影较明显的外观。
倒T字线,Gravestone Doji,,单根蜡烛与组合,Q14,待实现,11,B1 B2 B3,十字实体在价格区间下端、上影较明显的外观。
一字线,Four-price Doji,,单根蜡烛与组合,Q14,待实现,11,B1 B2 B3,开、高、低、收几乎重合的特殊外观。
锤子线,Hammer,,单根蜡烛与组合,Q15,待实现,"12,28,31",B4 B5 B6,下跌后出现的小实体长下影形态；原笔记下影约至少实体两倍。
上吊线,Hanging Man,,单根蜡烛与组合,Q15,待实现,"12,29,31",B4 B5 B6,上涨后出现、外形与锤子线相似的警告形态，尤需后续验证。
流星,Shooting Star,射击之星,单根蜡烛与组合,Q16,待实现,13,B16 B17,上涨后出现的小实体长上影形态；上攻曾发生，但高价未保持。
倒锤子线,Inverted Hammer,,单根蜡烛与组合,Q16,待实现,13,B16 B17,下跌后出现的小实体长上影形态；后续买盘能否接力是关键。
吞没形态,Engulfing Pattern,,单根蜡烛与组合,Q17,待实现,"14,15,18,30",B7 B8,第二根反色实体覆盖第一根实体；不要求完全覆盖影线。
看涨吞没,Bullish Engulfing,,单根蜡烛与组合,Q17,待实现,"14,28",B7 B8,下跌后，较大阳线实体覆盖前一阴线实体。
看跌吞没,Bearish Engulfing,,单根蜡烛与组合,Q17,待实现,14,B7 B8,上涨后，较大阴线实体覆盖前一阳线实体。
实体中点,Body Midpoint,,单根蜡烛与组合,Q02,待实现,15,B1 B2 B3,实体上下端价格的平均值，是乌云盖顶与刺透的深度参照。
乌云盖顶,Dark Cloud Cover,,单根蜡烛与组合,Q18,待实现,15,B9 B10,上涨后的阳阴组合，次日高开走弱，收盘深入前一阳线实体。
刺透形态,Piercing Pattern,,单根蜡烛与组合,Q18,待实现,15,B9 B10,下跌后的阴阳组合，后一阳线深入前一阴线实体，理想状态越过中点。
待入／切入／插入线,Incomplete Recovery Patterns,待入线；切入线；插入线,单根蜡烛与组合,Q19,部分可计算；子型人工复核,15,B10,原图用于区分收复不足的近似组合；这里合并解释，英文为描述性译法。
星线,Star,雨滴,单根蜡烛与组合,Q20,待实现,16,B12 B13 B14 B15,小实体与此前较大实体不重叠；影线可以接触或重叠。
实体跳空,Body Gap,,单根蜡烛与组合,Q20,待实现,"16,17",B12 B13 B14 B15,相邻实体区间彼此分离，条件弱于整个高低区间分离。
十字星线,Doji Star,,单根蜡烛与组合,Q20,待实现,16,B12 B13 B14 B15,星线的中间实体缩小为十字；本身不等于完整反转组合。
启明星,Morning Star,,单根蜡烛与组合,Q20,待实现,16,B12 B13 B14 B15,下跌背景中的长阴、小星线、反向阳线三根组合。
黄昏星,Evening Star,,单根蜡烛与组合,Q20,待实现,16,B12 B13 B14 B15,上涨背景中的长阳、小星线、反向阴线三根组合。
十字启明星,Morning Doji Star,,单根蜡烛与组合,Q20,待实现,17,B12 B13 B14 B15,启明星中间的小实体变为十字线。
十字黄昏星,Evening Doji Star,,单根蜡烛与组合,Q20,待实现,17,B12 B13 B14 B15,黄昏星中间的小实体变为十字线。
弃婴顶部,Bearish Abandoned Baby,,单根蜡烛与组合,Q21,待实现,17,B15 B16,顶部三根组合中，十字线连同影线被两侧价格区间隔开。
弃婴底部,Bullish Abandoned Baby,,单根蜡烛与组合,Q21,待实现,17,B15 B16,底部三根组合中，十字线连同影线被两侧价格区间隔开。
孕线,Harami,,单根蜡烛与组合,Q22,待实现,18,B18,第二根较小实体位于第一根较大实体内部，代表实体范围收缩。
十字孕线,Harami Cross,,单根蜡烛与组合,Q22,待实现,18,B18,孕线的第二根为十字，体现更明显的停顿特征。
窗口,Window / Gap,缺口；跳空,单根蜡烛与组合,Q23,待实现,"7,17,19",B20,相邻时段完整高低区间之间的空白价格区域；需区别于仅实体跳空。
向上窗口,Rising Window,,单根蜡烛与组合,Q23,待实现,19,B20,后一时段最低价高于前一时段最高价，窗口可作为支撑候选区域。
向下窗口,Falling Window,,单根蜡烛与组合,Q23,待实现,19,B20,后一时段最高价低于前一时段最低价，窗口可作为阻力候选区域。
回补,Gap Fill,,单根蜡烛与组合,Q23,待实现,19,B20,价格重新进入或穿过窗口区域；应说明是部分进入还是完整回补。
头肩顶,Head and Shoulders Top,,结构形态与指标,Q24,待实现,20,A6 A7,中间头部较高、两侧肩部较低的顶部候选结构，关注下破颈线。
头肩底,Inverse Head and Shoulders,,结构形态与指标,Q24,待实现,20,A6 A7,中间头部较低、两侧肩部较高的底部候选结构，关注上破颈线。
右肩,Right Shoulder,,结构形态与指标,Q24,待实现,20,A6 A7,头部之后形成的次级峰或谷；出现右肩不等于颈线已经突破。
颈线,Neckline,,结构形态与指标,Q24,待实现,"20,21,31",A6 A7,连接头肩或多重顶底中关键反向拐点的边界；角色须分突破前后。
双顶,Double Top,M形顶,结构形态与指标,Q25,待实现,21,A8,两个相近高点与中间低点形成的顶部候选结构。
双底,Double Bottom,W形底,结构形态与指标,Q25,待实现,"21,30",A8,两个相近低点与中间高点形成的底部候选结构。
三重顶／底,Triple Top / Bottom,三重顶；三重底,结构形态与指标,Q29,人工复核；不自动识别,21,A9,反复三次测试相近高／低位的外观；原笔记主要在总览图列名。
圆弧顶／底,Rounding Top / Bottom,圆弧顶；圆弧底,结构形态与指标,Q29,人工复核；不自动识别,23,A9,价格逐步转弯形成圆弧的外观；原笔记未展开参数与规则。
喇叭形,Broadening Formation,,结构形态与指标,Q29,人工复核；不自动识别,23,A9,边界逐渐扩张的结构外观，原总览图列喇叭顶与底。
菱形,Diamond Formation,,结构形态与指标,Q29,人工复核；不自动识别,23,A9,常呈先扩张再收缩的菱形轮廓；原文仅列名与图示。
楔形,Wedge,,结构形态与指标,Q28,人工边界；自动识别待研究,"8,23",A3 A4 A9,上下边界同向倾斜并逐渐收敛的结构。
对称三角形,Symmetrical Triangle,,结构形态与指标,Q29,人工复核；不自动识别,23,A9,高点下降、低点上升，两条边界向中间收敛。
上升／下降三角形,Ascending / Descending Triangle,上升三角形；下降三角形,结构形态与指标,Q29,人工复核；不自动识别,23,A9,一侧近水平、另一侧向其靠拢的三角形；对应原图“斜横三角形”外观。
持续形态,Continuation Pattern,,结构形态与指标,Q27,人工标注；自动识别待研究,"22,23",A9 A10 A11,既有走势整理后可能继续的结构家族，仍需实际突破来确认。
旗形,Flag,,结构形态与指标,Q27,人工标注；自动识别待研究,22,A9 A10 A11,快速推进之后形成的较小平行或倾斜整理区。
旗杆,Flagpole,,结构形态与指标,Q27,人工标注；自动识别待研究,22,A9 A10 A11,旗形或三角旗之前的快速单向推进部分。
牛旗,Bull Flag,,结构形态与指标,Q27,人工标注；自动识别待研究,22,A9 A10 A11,上涨旗杆后的整理形态，观察是否恢复向上推进。
熊旗,Bear Flag,,结构形态与指标,Q27,人工标注；自动识别待研究,22,A9 A10 A11,下跌旗杆后的整理形态，观察是否恢复向下推进。
三角旗,Pennant,,结构形态与指标,Q27,人工标注；自动识别待研究,22,A9 A10 A11,快速旗杆之后形成的短小收敛整理，区别于没有旗杆背景的一般三角形。
矩形,Rectangle,,结构形态与指标,Q26,待实现,"22,23,29",A11 A12,上下边界近似水平的反复整理区；不预先锁定突破方向。
量度目标,Measured-move Reference,,结构形态与指标,Q31,待实现,21,A8 A12,根据图形高度推算的价格参考，不是保证到达的结果。
均线,Moving Average,,结构形态与指标,Q04,待实现,24,A13 B21,对历史价格作平滑计算，辅助阅读趋势与候选支撑阻力。
SMA,Simple Moving Average,简单移动平均线,结构形态与指标,Q04,待实现,"24,31",A13 B21,简单移动平均线，最近 n 期价格等权平均。
EMA,Exponential Moving Average,指数移动平均线,结构形态与指标,Q04,待实现,"24,26",A13 B21,指数移动平均线，较近数据权重较高。
动态支撑,Dynamic Support,,结构形态与指标,Q04,待实现,24,A13 B21,随时间变化的均线等形成的潜在支撑，而非固定价位承诺。
动量,Momentum,,结构形态与指标,Q05,待实现,25,A13 A14,价格变化的速度或力度，需与价格所处水平和结构区分。
震荡指标,Oscillator,,结构形态与指标,Q05,待实现,"25,26",A13 A14,围绕中线或在一定范围内波动的指标家族，不能一律套用相同阈值。
RSI,Relative Strength Index,相对强弱指标,结构形态与指标,Q05,待实现,"25,28,30",A13 A14,相对强弱指标，比较近期上涨与下跌变化，常以0到100表示。
超买／超卖,Overbought / Oversold,超买；超卖,结构形态与指标,Q05,待实现,25,A13 A14,指标描述的相对强弱或极端状态，不是必然立即反向的结论。
背离,Divergence,,结构形态与指标,Q30,待实现,"25,31",A14,价格新高／低与指标的对应高／低点未同步；首先是动量警告。
顶部背离,Bearish Divergence,,结构形态与指标,Q30,待实现,"25,29",A14,价格创新高而指标对应高点未创新高。
底部背离,Bullish Divergence,,结构形态与指标,Q30,待实现,25,A14,价格创新低而指标对应低点未创新低。
MACD,Moving Average Convergence/Divergence,,结构形态与指标,Q06,待实现,"26,28,31",A14 B21,以快慢EMA差值及其信号线观察动量与趋势的指标。
DIF,MACD Line,,结构形态与指标,Q06,待实现,"26,30",A14 B21,常见为12期EMA减26期EMA；英文平台常称 MACD line。
DEA,Signal Line,,结构形态与指标,Q06,待实现,26,A14 B21,DIF 的平滑信号线，常见为9期EMA。
柱状图,MACD Histogram,,结构形态与指标,Q06,待实现,"26,30",A14 B21,常以DIF与DEA差值显示；具体缩放与颜色应核对软件口径。
零轴,Zero Line,,结构形态与指标,Q06,待实现,26,A14 B21,MACD 差值为零的位置，不能与DIF穿越DEA混为一谈。
金叉／死叉,Bullish / Bearish Crossover,金叉；死叉,结构形态与指标,Q06,待实现,"26,29,30",A14 B21,快线向上／下穿越慢线；必须说明是均线交叉还是MACD线交叉。
